id,"organ","sentence",frequency
4395,"крайници","Крайници- без данни за периферен застой.",14
4396,"сърце","Cor- ритм. Сърд. Д-ност, акцентуиран Ао2, Fr~68\\min, RR 135\\80",1
4397,"сърце","Cor- ритм. Сърд. Д-ност, акцентуиран Ао2, Fr~69\\min, RR 130\\80",3
4398,"сърце","Cor- ритм. Сърд. Д-ност, акцентуиран Ао2, Fr~66\\min, RR 125\\80",6
4399,"бял дроб","Pulmo-чисто везикуларно дишане, без физикални данни за застой",14
4400,"сърце","Cor-аритм",29
4401,"бял дроб","Pulmo  ЧВД,без данни за застой",11
4402,"бъбрек","SR /-/  двустранно.",25
4403,"око","Зрение -зрителна острота със собств",2
4404,"бъбрек","SR /-/  двустранно",8
4405,"бъбрек","Сук. реналис - отр (-)",2
4406,"бял дроб","Pulmo -грубо вез. дишане ,пулмофиброза,без данни за застой",1
4407,"кръвно налягане","RR-  125/ 80",1
4408,"сърце","Cor-р. С. Д.,Ясни СТ, Fr 91 /min.,RR120/80",1
4409,"корем","Корем- мек, черен дроб  на РД, палпаторно чувствителен, голям оперативен цикатрикс в десен хипохондриум",1
4410,"бял дроб","Pulmo -чисто вез. дишане,,пулмофиброза  вдясно ,удължен експириум",1
4411,"око","Зрение -зрителна острота  със собств",1
4412,"кръвно налягане","RR-  130 / 80",4
4413,"кръвно налягане","RR-  110 / 70",4
4414,"кръвно налягане","RR-  150 / 80",1
4415,"кръвно налягане","RR-  120 / 80",4
4416,"кръвно налягане","RR-  100 / 70",1
4417,"кръвно налягане","RR-  140 / 80",1
4418,"кръвно налягане","RR-  120 / 70",3
4419,"бял дроб","Pulmo - чисто вез. дишане без данни за застой",1
4420,"сърце","Cor - р.с.д., нормофреквентна, акц. А2",1
4421,"бъбрек","SR /-/ отр .двустранно",1
4422,"бъбрек","SR /-/ .",6
4423,"вена","вени -варици",2
4424,"корем","Корем- мек,цикатрикс, без органомегалия",1
4425,"сърце","Cor- ритм. Сърд. Д-ност, акцентуиран Ао2, Fr 74\\min, RR 120\\80",4
4426,"черен дроб","Hepar на ребрената дъга.",2
4427,"бял дроб","Pulmo - вeзик",6
4428,"бъбрек","SR/-/  двустранно",5
4429,"сърце","Cor-р. С. Д. С fr. - 67/min. RR 125/80",3
4430,"сърце","Cor-р. С. Д. С fr. - 68 /min. RR 140/80",4
4431,"сърце","Cor-р. С. Д. С fr. - 67 /min. RR 130/80",1
4432,"сърце","Cor-р. С. Д. С fr. - 68 /min. RR 130/80",3
4433,"бял дроб","Pulmo- ВД,без  хрипове",2
4434,"корем","Корем- мек,над нивото на гръдния кош, без органомегалия",1
4435,"бял дроб","Pulmo -отслабеновез",1
4436,"глава","Глава и шия - изразена дисфония",1
4437,"око","Зрение - зрителна острота със собств",1
4438,"бял дроб","Pulmo-ясен перкуторен тон, вез. Дишане, без хрипове,удължен експириум",4
4439,"око","Зрение-Зрителна острота -намалена  със собств",1
4440,"опорно-двигателен апарат","ОДА -артрозна болест и периф",1
4441,"бял дроб","Pulmo-ясен перкуторен тон, вез. Дишане, без хрипове, удължен експириум",2
4442,"сърце","Cor-р. С. Д. С fr. - 67/min. RR 145/80",1
4443,"сърце","Cor- аритм",1
4444,"корем","Корем- мек, без рганомегалия",1
4445,"сърце","Cor-р. С. Д. С fr. - 67/min. RR 135/80",1
4446,"корем","Корем- мек,опер. цикатрикс ,без органомегалия",1
4447,"гърло","Гърло -  хиперемия на фаринг",1
4448,"сърце","Cor-р. С. Д. С fr. - 66/min. RR 125/70",1
4449,"опорно-двигателен апарат","ОДА  -гонартроза и периф",1
4450,"око","Зрение - зрителна острота  със собств",1
4451,"бъбрек","SR- двустранно /-/",1
4452,"корем","Корем - мек , без органомегалия",3
4453,"кръвно налягане","АН135/80",22
4454,"бял дроб","ПУЛМО: везикуларно дишане",6
4455,"черен дроб","Hepar - не се палп. увеличен",6
4456,"бял дроб","ПУЛМО: везикуларно дишане без хрипове",15
4457,"корем","Корем - мекоеластичен, палпат",3
4458,"бял дроб","Б.дроб-ясен белодробен тон,чисто везикуларно дишане",6
4459,"сърце","Сърце-",34
4460,"бъбрек","Сук.рен.-пол.в дясно",2
4461,"крайници","крайници-запазени пулсации.",7
4462,"бял дроб","Б.дроб-везикуларно дишане,без хрипове",2
4463,"щитовидна жлеза","Щит.жлеза-неугол",2
4464,"бял дроб","Б.дроб-хиперсонорен перкуторен тон,",2
4465,"бял дроб","отслабено везикуларно дишане",20
4466,"бял дроб","Б.дроб-отслабено везикуларно дишане,единични сухи свиркащи хрипове двустр",3
4467,"бял дроб","Б.дроб-везикуларно дищане,отслабено в основите",2
4468,"бял дроб","Сук.реналис-пол.двустр",1
4469,"кожа","мин.Кожа-бледа",1
4470,"бял дроб","Б.дроб-хиперсонорен белодробен тон скъсен в двете белодробни основи,везикуларно дишане,дребни влажни хрипове и крепитации в лява в основа",1
4471,"общо състояние","Психично състояние-без отклонение",1
4472,"език","Език - влажен, обложен",7
4473,"крайници","Крайници - без  отоци",15
4474,"сърце","Сърце-ритм.сърд. дейност,ясни и чисти тонове",6
4475,"крайници","Крайници -  б.о.",3
4476,"общо състояние","Общо състояние - задоволително",11
4477,"корем","Корем - мек, болезнен  над   симфизата",1
4478,"език","Език  влажен, обложен",2
4479,"език","Език влажен, обложен",2
4480,"кожа","Кожа и  видими лигавици - розови",1
4481,"крайници","Крайници  -  б.о.",9
4482,"кръвно налягане","RR  11065.",1
4483,"кожа","КОЖА-влажна ,бледа",2
4484,"глава","ГЛАВА и ШИЯ-без отклонения",201
4485,"език","ЕЗИК-сух необложен",3
4486,"бял дроб","БЯЛ ДРОБ-чисто везикуларно дишане двустранно",39
4487,"кръвно налягане","RR-175/80",2
4488,"език","ЕЗИК-влажен  обложен",3
4489,"гърло","ГЪРЛО И ТОНЗИЛИ-забел",1
4490,"бял дроб","ГР.КОШ И БЯЛ ДРОБ-Чисто везикуларно дишане двустранно",1
4491,"гърло","ГЪРЛО-забел",2
4492,"специален статус","СПЕЦ.СТАТУС-неврологичен статус- хипестезия от хеми тип в ляв крак и ръка лека атаксия",18
4493,"специален статус","СПЕЦ.СТАТУС-Образования по кожата",3
4494,"черен дроб","ЧЕР.ДРОБ и СЛЕЗКА-неувел.",25
4495,"бял дроб","БЯЛ ДРОБ-Отслабено везикуларно дишане,удължено издишане",1
4496,"специален статус","СПЕЦ.СТАТУС-отоци по долните крайници",1
4497,"специален статус","СПЕЦ.СТАТУС-палпат",2
4498,"око","ЗРЕНИЕ-Визус на двете очи 1.00",6
4499,"бял дроб","БЯЛ ДРОБ-чисто везикуларно дишане, без прибавени шумове",185
4500,"черен дроб","ЧЕР.ДРОБ и СЛЕЗКА-лекостеп",1
4501,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-промени в костната плътност на Т12,на ТХ11-наличие на остеосклероза",2
4502,"специален статус","СПЕЦ.СТАТУС-оперативен цикатрикс на дясна мл.жлеза",2
4503,"черен дроб","ЧЕР.ДРОБ и СЛЕЗКА-увел.,наличие на свободно подвижна течност",1
4504,"специален статус","СПЕЦ.СТАТУС-мамектомия в ляво",4
4505,"специален статус","СПЕЦ.СТАТУС-варикозни вени по краката с възпаление",1
4506,"бял дроб","БЯЛ ДРОБ-отслабено везикуларно дишане,в осн.ед.средни и дребни влажни хрипове",1
4507,"специален статус","СПЕЦ.СТАТУС-нарушена двигателна и сетивна функция на лявата половина на тялото",1
4508,"бял дроб","БЯЛ ДРОБ-Изострено везикуларно дишане,удължено иьдишане,сухи,свирк",1
4509,"кожа","КОЖА-Н",2
4510,"специален статус","; СПЕЦ.СТАТУС-пациента е на легло след прекаран инсулт на 13,10,2016 г.",4
4511,"бял дроб","ГР.КОШ И БЯЛ ДРОБ-Отслабено  везикуларно дишане",1
4512,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-палпат",4
4513,"кръвно налягане","RR-150/40",1
4514,"специален статус","СПЕЦ.СТАТУС-оперативен цикатрикс на лява мл.жлеза",2
4515,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-оток и палпат",1
4516,"специален статус","СПЕЦ.СТАТУС-плачлива,неспокойна",1
4517,"специален статус","; СПЕЦ.СТАТУС-п",1
4518,"специален статус","СПЕЦ.СТАТУС-неспокоен,напрегнат",2
4519,"бял дроб","БЯЛ ДРОБ-изострено везикуларно дишане,дифузно пръснати сухи,свирк",1
4520,"специален статус","СПЕЦ.СТАТУС-без данни за диабетно стъпало,намалена сетивност и отслабени рефлекси",2
4521,"специален статус","СПЕЦ.СТАТУС-хистеректомирана",2
4522,"специален статус","; СПЕЦ.СТАТУС-o",1
4523,"специален статус","; СПЕЦ.СТАТУС-на легло,неадекватна",1
4524,"сърце","СЪРЦЕ-ритмична сърдеч",17
4525,"специален статус","СПЕЦ.СТАТУС-хроничен лимфедем в дясно с бледо ливидна оцветка на кожата на дясно бедро",4
4526,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-лека палпат",2
4527,"сърце","СЪРЦЕ-ускорена сърдеч",1
4528,"щитовидна жлеза","ЩИТОВИДНА ЖЛЕЗА-нормални р-ри;неравна",1
4529,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-леко болезнени движ.в раменн",1
4530,"специален статус","СПЕЦ.СТАТУС-оточни подбедрици с видимо разширени вени с варикоза по тях;наличие на множество тъмни петна и хематоми по тях;координационни проби -нестабилна",1
4531,"специален статус","СПЕЦ.СТАТУС-напрегната",4
4532,"специален статус","СПЕЦ.СТАТУС-радикално отстранена ЛМЖ;ДМЖ наличие на бучка с размер 1,5см.палпат",1
4533,"специален статус","СПЕЦ.СТАТУС-радикално отстранена ЛМЖ;видимо разширени вени на двата крака без отоци",1
4534,"специален статус","СПЕЦ.СТАТУС-радикално отстранена ЛМЖ;ДМЖ-белег от направената ексцизия,спокоен",1
4535,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-наличие на ошипяване на поясните прешлени с изразена ригидност на поясната мускулатура",1
4536,"бял дроб","БЯЛ ДРОБ-везик",153
4537,"сърце","СЪРЦЕ-ясни сърдечни тонове, ритмична сърдечна дейност без екстрасистоли",30
4538,"език","; ЕЗИК-влажен необложен",22
4539,"кръвно налягане","RR-155/90",12
4540,"сърце","; СЪРЦЕ-ясни сърдечни тонове",1
4541,"специален статус","; СПЕЦ.СТАТУС-оточен и слабо болезнен ляв горен крайник",1
4542,"бял дроб","; БЯЛ ДРОБ-чисто везик",16
4543,"специален статус","СПЕЦ.СТАТУС-слаба палп.болезненост в епигастриума",1
4544,"черен дроб","ЧЕР.ДРОБ и СЛЕЗКА-слаба палпаторна болезненост в десния хипохондриум",1
4545,"бял дроб","БЯЛ ДРОБ-грубо везикуларно дишане двустранно",1
4546,"сърце","СЪРЦЕ-ясни сърдечни тонове, ритмична сърдечна дейност",31
4547,"кръвно налягане","RR-140/98",1
4548,"специален статус","; СПЕЦ.СТАТУС-образувание с големина на орех в лява шийна област",2
4549,"корем","; КОРЕМ-слаба палпаторна болецненост супрапубично",1
4550,"специален статус","; СПЕЦ.СТАТУС-слаба палп.болезненост супрапубично",1
4551,"специален статус","; СПЕЦ.СТАТУС-слаба палпаторна болезненост в двете темпорални области",1
4552,"специален статус","СПЕЦ.СТАТУС-от хирург",6
4553,"бял дроб","; БЯЛ ДРОБ-силно отслабено вез. дишане двустранно",9
4554,"кръвно налягане","RR-118/80",2
4555,"специален статус","; СПЕЦ.СТАТУС-слаба изразен уртикариален обрив в областта на гърдите",1
4556,"кръвно налягане","RR-110/68",3
4557,"специален статус","; СПЕЦ.СТАТУС-умерена до силна палп.болезненост и ограничени движения в гореп",1
4558,"опорно-двигателен апарат","; ОПОРНО-ДВИГ.АПАРАТ-силна палпаторна болезненост и ограничени движения в областта на лумбалния сегмент",1
4559,"специален статус","СПЕЦ.СТАТУС-напрегнат",4
4560,"корем","; КОРЕМ-слаба палпаторна болезненост супрапубично",3
4561,"сърце","СЪРЦЕ-ритмична сърд.дейност",144
4562,"опорно-двигателен апарат","; ОПОРНО-ДВИГ.АПАРАТ-силна палпаторна болезненост в областта на лумбалния сегмент",1
4563,"специален статус","СПЕЦ.СТАТУС-нормален визус и цветоусещане",1
4564,"кръвно налягане","; RR-145/85",2
4565,"специален статус","СПЕЦ.СТАТУС-стома - функционираща нормално",5
4566,"сърце","СЪРЦЕ-ясни сърд.тонове, ритмична сърдечна дейност",2
4567,"кръвно налягане","RR-170/105",3
4568,"специален статус","; СПЕЦ.СТАТУС-оток и слаба палп.болезненост в областта на долните крайници",2
4569,"пулс","ПУЛС-48",6
4570,"кръвно налягане","RR-117/60",1
4571,"пулс","ПУЛС-57",10
4572,"кръвно налягане","RR-137/77",1
4573,"специален статус","СПЕЦ.СТАТУС-силна палп.болезненост и огран",1
4574,"специален статус","; СПЕЦ.СТАТУС-умер.до силна палп.болезненост в двете гривнени стави",1
4575,"сърце","СЪРЦЕ-ясни сърдечни тонове синусова тахикардия",1
4576,"гърло","; ГЪРЛО-отекло и слабо зачервено",1
4577,"специален статус","; СПЕЦ.СТАТУС-от специалист",7
4578,"сърце","СЪРЦЕ-ясни сърдечни тонове ритмична сърдечна дейност",12
4579,"специален статус","; СПЕЦ.СТАТУС-умерено увредено общо състояние",7
4580,"специален статус","СПЕЦ.СТАТУС-умерено увредено общо състояние",1
4581,"опорно-двигателен апарат","; ОПОРНО-ДВИГ.АПАРАТ-умерена до силна палпаторна болезненост в двете коленни стави",1
4582,"бял дроб","; БЯЛ ДРОБ-чисто вез. дишане двустранно",5
4583,"кръвно налягане","RR-100/55",1
4584,"специален статус","СПЕЦ.СТАТУС-без патол",4
4585,"специален статус","; СПЕЦ.СТАТУС-палп.болезненост и ограничени движения в двете тазобедрени стави",1
4586,"специален статус","; СПЕЦ.СТАТУС-силно увредено общо състояние",1
4587,"сърце","СЪРЦЕ-ясни сърд.тонове ритмична сърд.дейност",3
4588,"корем","; КОРЕМ-умерена палпаторна болезненост супрапубично",1
4589,"бял дроб","БЯЛ ДРОБ-чисто вез. дишане двустранно",1
4590,"температура","; ТЕМПЕРАТУРА-38.3",1
4591,"бял дроб","БЯЛ ДРОБ-грубо вез.дишане двустранно с множ.смесенви хрипове двустранно",1
4592,"специален статус","; СПЕЦ.СТАТУС-слаба палпаторна болезненост в десния лоб на щит. жлеза",2
4593,"специален статус","; СПЕЦ.СТАТУС-намалена зрителна острота за близко и далечно виждане",1
4594,"пулс","ПУЛС-55",32
4595,"кръвно налягане","RR-115/60",10
4596,"специален статус","; СПЕЦ.СТАТУС-умер.палп.болезненост в гореп",1
4597,"бял дроб","БЯЛ ДРОБ-симетричен, чисто везикуларно дишане двустранно",2
4598,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-запазен обем движения и без палпаторна болезненост в областта на големите стави",2
4599,"кръвно налягане","RR-105/65",6
4600,"корем","; КОРЕМ-умерена до силна палп.болезненост в десния хипохондриум",1
4601,"специален статус","; СПЕЦ.СТАТУС-зачервен и оточен външен слухов канал",1
4602,"специален статус","; СПЕЦ.СТАТУС-слаба палп.болезн",1
4603,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-клинични данни за Церумен",1
4604,"специален статус","СПЕЦ.СТАТУС-без пат. рефлекси, зап. мм сила в 4-те крайника, мм тон. - физ. нормотония, запазена пов. и дълб. сетивност, т.р. - контролира, ВКФ - ало и автопсихично ориентиран, съхранени когнитивни ф-ии за възрас",6
4605,"специален статус","; СПЕЦ.СТАТУС-добро общо състояние",1
4606,"глава","ГЛАВА и ШИЯ-леко повиш",9
4607,"кожа","КОЖА--",12
4608,"корем","Корем - Мек и спокоен, с добра перисталтика",221
4609,"черен дроб","Ч.Дроб - Не се палпира",271
4610,"крайници","Крайници - Със запазен тонус, без оттоци",65
4611,"черен дроб","Ч.Дроб - Не се палпира.",26
4612,"кожа","Кожа и лиг.-розови",22
4613,"крайници","Крайници - Със запазен тонус, без оттоци.",24
4614,"опорно-двигателен апарат","ОДА б.о. Неврол",8
4615,"бял дроб","Д.С. - Чисто везикуларно дишане",1
4616,"кожа","Кожа и иг.-розови",9
4617,"бял дроб","Б.дроб-бо.Хиперемия на тонзилите.",1
4618,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-Бо; СПЕЦ.СТАТУС-Ригидност на параверт",1
4619,"температура","темп---37.6",6
4620,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-Палп- и спонт",1
4621,"бял дроб","БЯЛ ДРОБ-ГД,СХД паратр",1
4622,"специален статус","СПЕЦ.СТАТУС-Липсва ОНС",4
4623,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-Крайници -симетрични ,подвижни, без деформации Запазена сетивност и пулсации",14
4624,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-десностранна хемипареза",2
4625,"лимфни възли","; ПЕРИФЕРНИ ЛИМФНИ ВЪЗЛИ-ШЛВ до боб. зърно,болезнени",2
4626,"специален статус","СПЕЦ.СТАТУС-Липсва МРД",2
4627,"щитовидна жлеза","Щитовидна жлеза- не се вижда и палпира",18
4628,"гръден кош","Гръден кош - симетричен",20
4629,"тегло","Т- 92   кг",14
4630,"тегло","Т-64 кг",8
4631,"тегло","Т-76кг.",2
4632,"общо състояние","В добро общо състяние",5
4633,"общо състояние","В увредено общо състяние",6
4634,"тегло","Т-75кг",4
4635,"тегло","Т-85 кг",14
4636,"тегло","Т-87 кг",1
4637,"тегло","Т-78кг",13
4638,"кожа","Кожа иктерична",1
4639,"бъбрек","Сук.рен.отр.дв.",1
4640,"тегло","Т- 80 кг",12
4641,"тегло","Т-74кг",9
4642,"бял дроб","Pulmo везикуларно дишане cor- ритъмична  сърдечна деиност",9
4643,"бял дроб","Дишане - чисто везикуларно",22
4644,"бъбрек","SR(-)двустранно",22
4645,"крайници","Крайници-без изменения",14
4646,"бял дроб","ДС - везикуларно дишане",136
4647,"пулс","СЧ - 80",112
4648,"бял дроб","Ясен перкуторен тон.Пулмо-везикуларно дишане",1
4649,"общо състояние","Сравнителлно добро общо състояние",3
4650,"опорно-двигателен апарат","ОДА-правилно развит, добър тонус",4
4651,"око","Зрителна острота-запазена",4
4652,"нервна система","Неврологичен статус-б.о.,Псих здрав.",1
4653,"корем","Корем- мек ,спокоен ,без данни за органомегалия",5
4654,"опорно-двигателен апарат","ОДА ограничени и  болезнени движения.",5
4655,"нервна система","Неврологичен статус-б.о.. Психично здрава.",1
4656,"сърце","Сърце-РСД, глуховати  тонове, акцентуиран А2",53
4657,"черен дроб","Чер дроб на ребрената дъга - не се опипва увеличен",53
4658,"общо състояние","Видима възраст-отговаряща на  действителната",30
4659,"гърло","Гърло спокойно, нос проходим",30
4660,"ухо","Слух  в норма",2
4661,"черен дроб","Ч.Дроб  и Слезка: не се опипват увеличени",30
4662,"опорно-двигателен апарат","ОДА - без патологични отклонения",30
4663,"око","Зрителна острота - в норма",26
4664,"око","Зрителна острота -левостранна слепота",1
4665,"око","Зрителна острота - Силно намалена до липсваща двустранно",1
4666,"крайници","Крайници с претибиални отоци.",15
4667,"гърло","Гърло сочно, нос непроходим",1
4668,"кръвно налягане","АН: 125/88 мм.",1
4669,"черен дроб","Черен дроб и далак - не се палпират.",42
4670,"бъбрек","SR-двустранно  /-/.",7
4671,"бъбрек","Сук. Рен. /+/",2
4672,"бъбрек","Сук. Рен. /--/",2
4673,"бял дроб",", Pulmo-везикуларно дишане, без хрипове",3
4674,"сърце","Cor-аритмична",25
4675,"бял дроб","-Чисто везикуларно дишане",75
4676,"крайници","Крайници - добре оросени, без отоци",28
4677,"общо състояние","Нарушено  общо състояние",9
4678,"бял дроб","Везикуларно дишане, без прибавени хрипове",26
4679,"пулс","СЧ -70",1
4680,"бял дроб","Пул.-чисто везикуларно дишане",30
4681,"бял дроб","Пулмо-везикуларно дишане,без прибавени хрипове",31
4682,"крайници","Крайници-без особености.",37
4683,"кожа","Кожа и лигавица чисти",3
4684,"гърло","Гърло и нос спокойни",3
4685,"око","Очен статус-нарушен визус за близки обекти",1
4686,"бял дроб","Pulmo-чисто везикуларно дишане с нормална честота и дълбочина",2
4687,"пулс","FR-80/мин.",1
4688,"пулс","FR-78/мин",1
4689,"пулс","СЧ - 85",8
4690,"бял дроб","Дих. с-ма - везик",8
4691,"бъбрек","SR /+/ двустранн",1
4692,"общо състояние","Незадоволително  общо състояние",3
4693,"крайници","Крайници-с отслабени пулсации на двата крака на ар.феморалис.",1
4694,"корем","Корем - мек. Останалия сом. статус- в норма",1
4695,"температура","Температура -",1
4696,"бял дроб","Пулмо-везикуларно дишане,без прибавеин хрипове",1
4697,"бял дроб","Pulmo-изострено везикуларно дишане",2
4698,"щитовидна жлеза","Щитовидна жлеза -постоп",1
4699,"око","Зрение,слух са нормални.",1
4700,"корем","Коремни органи-б.о",9
4701,"лимфни възли","ПЛВ- неуголемени",5
4702,"бял дроб","Pulmo- чисто вез.дишане",1
4703,"черен дроб","Hepar et Lien- не се палпират увеличени",1
4704,"бъбрек","Succ.renalis - двустранно",1
4705,"кръвно налягане","14090",1
4706,"кръвно налягане","13090",1
4707,"кръвно налягане","13075",1
4708,"опорно-двигателен апарат","ОДА-запазена подвижност,леки претибиални отоци.",7
4709,"бял дроб","Пулмо-везикуларно дишане без прибавени хрипове отслабено в двете белодробни основи",12
4710,"щитовидна жлеза","Лимфни възли и  щитовидна жлеза - неувеличени",22
4711,"бял дроб","Пулмо-везикуларно дишане  с ед.сухи свиркащи хрипове двустранно",1
4712,"кръвно налягане","RR   140/80",1
4713,"щитовидна жлеза","Лимфни възли и  щитовидна жлеза неувеличени",65
4714,"крайници","Крайници-варикозни вени на долните .",8
4715,"крайници","Крайници-оток на лява колянна става;",1
4716,"крайници","Крайници- отоци по двете подбедрици;",10
4717,"общо състояние","Задовдолително  общо състояние",3
4718,"крайници","Крайници-отоци по двете подбедрици;",1
4719,"крайници","Крайници-намалени сухожилни и надкостни рефлекси.",16
4720,"крайници","Крайници-намалени сухожилни и надкостни рефлекси",2
4721,"крайници","Крайници без отоци .",86
4722,"око","Очен статус без особености",3
4723,"око","Очен статус- коригирано с очила.",22
4724,"гърло","ГЪРЛО-незачервено",79
4725,"око","Цветоусещане нормално .ВОД - 1.0 ; ВОС - 1.0 ;",5
4726,"око","Зрение - Острота -  хиперметропия,  коригирана",4
4727,"опорно-двигателен апарат","ОДА-огр и болезн",1
4728,"бял дроб","отсл.  везикуларно дишане, двустр",3
4729,"общо състояние","Увредено общо съст",4
4730,"бял дроб","отсл. везикуларно дишане,  без алвеол",1
4731,"око","Зрение - Острота- -хиперметропия -коригирани с диоптри",2
4732,"бял дроб","Пулмо -Двустр",1
4733,"бял дроб","чисто везикуларно дишане,  без алвеол",5
4734,"нервна система","НС- негативен",1
4735,"око","Очен ст- липсва екзофталм, периметрия- безоткл",1
4736,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-придвижва се с чужда помощ",3
4737,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-неподвижна",1
4738,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-слабост на леви крайници",5
4739,"специален статус","СПЕЦ.СТАТУС-онколог",5
4740,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-отоци по двете подбедрици",2
4741,"бял дроб","БЯЛ ДРОБ-отслабео вез.дишане с дребни влажни хрипове",2
4742,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-слабост на крайниците",2
4743,"специален статус","СПЕЦ.СТАТУС-мамектомия на дясна гърда",10
4744,"специален статус","; СПЕЦ.СТАТУС-образование с големина на лещено зърно",1
4745,"кръвно налягане","RR-110/90",4
4746,"специален статус","СПЕЦ.СТАТУС-мастектомия в ляво",1
4747,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-намалена чуствителност на долни крайници",4
4748,"опорно-двигателен апарат","; ОПОРНО-ДВИГ.АПАРАТ-палпаторна болка ,ограничени и болезнени движения в областта на дясна тазобедрена става",1
4749,"гърло","ГЪРЛО-сочно ,хиперемирано",9
4750,"бял дроб","БЯЛ ДРОБ-Изострено везикуларно дишане с множество сухи свиркащи хрипове",7
4751,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-намален вибрационен усет на долни крайници",10
4752,"специален статус","СПЕЦ.СТАТУС-двустранна мастектомия",2
4753,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-тремор на двете ръце ,слабост на леви крайници ,гипсова имобилизация на дясна предмишница",16
4754,"бял дроб","БЯЛ ДРОБ-отслабено вез.дишане с др.влажни хрипове",2
4755,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-ограничени движения на двете коленни стави",2
4756,"кожа","КОЖА-иктерична",6
4757,"черен дроб","ЧЕР.ДРОБ и СЛЕЗКА-не могат да се палпират.",2
4758,"бял дроб","Пулмо -  везик дишане",15
4759,"черен дроб","Черен дроб и слезка -- неув.",15
4760,"крайници","Крайници---     без отоци",15
4761,"бял дроб","Пулмо- -везик",161
4762,"бял дроб","Пулмо--везикуларно дишане",17
4763,"корем","Корем- мек не болезнен при палпацие",12
4764,"бъбрек","Сукусио реналис- отр.",12
4765,"крайници","Долни крайници- -без отоци",12
4766,"черен дроб",".Черен дроб и слезка - не се палпират увел",1
4767,"бял дроб","Бял дроб-отсл. везик",2
4768,"бял дроб","Пулмо- -отсл.везик",1
4769,"лигавица","Лигавици-бледорозови",9
4770,"сърце","СЪРЦЕ - ритм.сърд.дейност",166
4771,"кръвно налягане","RR 135/85 mm/Hg.",7
4772,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ - Крайници - без отоци и трофични промени по кожата   ,",10
4773,"кръвно налягане","RR 120/80 mm/Hg.",1
4774,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ - Крайници - с претибиални отоци   ,",1
4775,"гърди","Ампутирана дясна гърда",1
4776,"кръвно налягане","RR 145/80",3
4777,"кръвно налягане","RR 145/85;",1
4778,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ - Крайници - без отоци   ,",17
4779,"температура","Температура - 38",1
4780,"кръвно налягане","RR 130/80 mm/Hg.",8
4781,"сърце","СЪРЦЕ - ритмична сърдечна дейност",41
4782,"бял дроб","БЯЛ ДРОБ - отслабено везикуларно дишане",10
4783,"кръвно налягане","RR 140/80 mm/Hg.",10
4784,"кръвно налягане","RR 135/80 mm/Hg.",5
4785,"кръвно налягане","RR 125/80 mm/Hg.",4
4786,"кръвно налягане","RR 140/90 mm/Hg.",1
4787,"вена","вени-неразширени",4
4788,"кръвно налягане","RR 105/70 mm/Hg.",2
4789,"кръвно налягане","RR 130/90 mm/Hg.",1
4790,"кръвно налягане","RR 125/85 mm/Hg.",6
4791,"кръвно налягане","RR 135/90 mm/Hg.",2
4792,"кръвно налягане","RR 150/90 mm/Hg",1
4793,"кръвно налягане","RR 140/90 mm/Hg",2
4794,"сърце","СЪРЦЕ - aритмична сърдечна дейност",1
4795,"кръвно налягане","RR 140/80 mm/Hg",1
4796,"температура","Температура - 36.8",1
4797,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ - Крайници - без отоци ,",2
4798,"кръвно налягане","RR 145/85 mm/Hg.",1
4799,"кръвно налягане","RR - 140/80",26
4800,"кръвно налягане","RR - 135/80",22
4801,"кръвно налягане","RR90/60 mm/Hg.",1
4802,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-правилно развит",199
4803,"опорно-двигателен апарат","ОПОРНО-ДВИГ.АПАРАТ-с оток и ограничени движения на двете коленни стави",9
